id,born,bornIn,died,imdbId,name,poster,tmdbId,url,actor,director
21085,1976-01-01,"Bethany, Connecticut, USA",,755603.0,Thomas Sadoski,https://image.tmdb.org/t/p/w440_and_h660_face/ciqrqKHUfFGlMPyUE35YSKEvxuL.jpg,1218218,https://themoviedb.org/person/1218218,1,0
21087,1966-12-27,"Tulsa, Oklahoma, USA",,4966.0,Bill Goldberg,https://image.tmdb.org/t/p/w440_and_h660_face/bM2kVgFBGhp6gjbypFUiUP3Qg7c.jpg,65236,https://themoviedb.org/person/65236,1,0
21088,1987-09-24,"New York City, New York, United States",,4829.0,Spencer Treat Clark,https://image.tmdb.org/t/p/w440_and_h660_face/695AaV6QE3TubsJrTSRCY7O4JAV.jpg,4012,https://themoviedb.org/person/4012,1,0
21089,,,,87904.0,Barry W. Blaustein,,57328,https://themoviedb.org/person/57328,1,1
21090,1945-08-24,"Pinehurst, North Carolina, USA",,573093.0,Vince McMahon,https://image.tmdb.org/t/p/w440_and_h660_face/wqpUeqCZLSvo3ErU9EEmLmEUee6.jpg,57342,https://themoviedb.org/person/57342,1,0
21094,1968-01-14,"La Porte, Indiana, USA",,576879.0,Anthony Meindl,,1236783,https://themoviedb.org/person/1236783,1,0
21095,1985-09-09,"Chicago, Illinois, USA",,,Grady Hutt,,2525882,https://themoviedb.org/person/2525882,1,0
21097,1982-11-02," Tokyo, Japan",,297906.0,Kyoko Fukada,https://image.tmdb.org/t/p/w440_and_h660_face/fi7gJDbVY6tJ3Hy3HwkXZS16dUW.jpg,13253,https://themoviedb.org/person/13253,1,0
21098,1954-01-23,,,463201.0,Fumiyo Kohinata,https://image.tmdb.org/t/p/w440_and_h660_face/jgdletlEe3cKgGRh1vbEz6RgZOJ.jpg,58449,https://themoviedb.org/person/58449,1,0
21100,1976-10-23,"Vancouver, British Columbia, Canada",,5351.0,Ryan Reynolds,https://image.tmdb.org/t/p/w440_and_h660_face/h1co81QaT2nJA41Sb7eZwmWl1L2.jpg,10859,https://themoviedb.org/person/10859,1,0
21101,1973-11-30,"	Toronto, Ontario, Canada",,277116.0,Fab Filippo,,75946,https://themoviedb.org/person/75946,1,0
21102,1974-08-09,,,217984.0,Marya Delver,,75948,https://themoviedb.org/person/75948,1,0
21104,1971-06-28,"Queens, New York City, New York, USA",,36651.0,Tichina Arnold,https://image.tmdb.org/t/p/w440_and_h660_face/aBv6pccSsbO6DwfHfIz5wTZTux8.jpg,83600,https://themoviedb.org/person/83600,1,0
21105,1945-11-27,"Pughsville [now Suffolk], Virginia, USA",2013-12-31,43041.0,James Avery,https://image.tmdb.org/t/p/w440_and_h660_face/iPeiAsXEKaIkWshAkAFYTqaqOS4.jpg,51547,https://themoviedb.org/person/51547,1,0
